萤火虫之墓,1988,8.7,355307人评价
小偷家族,2018,8.7,692992人评价
黑天鹅,2010,8.6,692692人评价
绿里奇迹,1999,8.9,253259人评价
无敌破坏王,2012,8.7,442569人评价
你看起来好像很好吃,2010,8.9,282975人评价
冰川时代,2002,8.6,520348人评价
爱在午夜降临前,2013,8.8,296880人评价
九品芝麻官,1994,8.6,509861人评价
雨人,1988,8.7,345855人评价
疯狂的石头,2006,8.5,672040人评价
恋恋笔记本,2004,8.5,548205人评价
恐怖游轮,2009,8.5,663931人评价
雨中曲,1952,9.1,173446人评价
魔女宅急便,1989,8.7,382915人评价
色，戒,2007,8.5,588710人评价
2001太空漫游,1968,8.8,247363人评价
奇迹男孩,2017,8.6,477949人评价
虎口脱险,1966,8.9,201652人评价
海边的曼彻斯特,2016,8.6,404015人评价
人工智能,2001,8.7,367088人评价
可可西里,2004,8.8,247786人评价
城市之光,1931,9.3,112861人评价
初恋这件小事,2010,8.4,854799人评价
房间,2015,8.8,323975人评价
罗生门,1950,8.8,255931人评价
二十二,2015,8.7,244533人评价
终结者2：审判日,1991,8.7,290419人评价
大佛普拉斯,2017,8.7,347140人评价
遗愿清单,2007,8.7,337748人评价
牯岭街少年杀人事件,1991,8.9,218775人评价
波西米亚狂想曲,2018,8.7,484828人评价
源代码,2011,8.5,688636人评价
魂断蓝桥,1940,8.8,231310人评价
新龙门客栈,1992,8.6,368405人评价
青蛇,1993,8.6,428422人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,435534人评价
无耻混蛋,2009,8.6,396768人评价
步履不停,2008,8.8,225101人评价
血钻,2006,8.7,306448人评价
东京教父,2003,9.0,154276人评价
无间道2,2003,8.6,354077人评价
燃情岁月,1994,8.8,244291人评价
海洋,2009,9.1,141176人评价
彗星来的那一夜,2013,8.5,439651人评价
谍影重重2,2004,8.7,297765人评价
战争之王,2005,8.7,296330人评价
穿越时空的少女,2006,8.6,329366人评价
阿飞正传,1990,8.5,417156人评价
地球上的星星,2007,8.9,175015人评价
完美陌生人,2016,8.5,455327人评价
千钧一发,1997,8.8,222066人评价
谍影重重,2002,8.6,356023人评价
东京物语,1953,9.2,112101人评价
黑客帝国2：重装上阵,2003,8.6,318061人评价
香水,2006,8.5,469365人评价
崖上的波妞,2008,8.6,388307人评价
我爱你,2011,9.1,137242人评价
再次出发之纽约遇见你,2013,8.6,355235人评价
朗读者,2008,8.6,400746人评价
茶馆,1982,9.5,72653人评价
聚焦,2015,8.8,236721人评价
驴得水,2016,8.3,774032人评价
浪潮,2008,8.7,230553人评价
猜火车,1996,8.5,366579人评价
小萝莉的猴神大叔,2015,8.4,417019人评价
爱乐之城,2016,8.4,687398人评价
追随,1998,8.9,153815人评价
